Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
A,A,A,A,A,A,A
Aardvark,cub,sow,boar,N/A,orycteropodian,
Albatross,chick,N/A,N/A,flock[8]gam (when searching for mates)[9]rookery[10],diomedeid,
Alligator,hatchling,cow,bull,congregation[11],eusuchian,
Alpaca[12],cria,hembra,macho,herd,camelid,
American bison,calf,?,?,?,dactyloidian,
Ant,larvapupa,queen (fertile)soldierworker,drone,army[13]bike[13]colony[13][14]nest[11]swarm[13],formicmyrmicine,
Anteater,pup,sow,boar,N/A,vermilinguan,
Antelope,calf[15],doe,buck,cluster[13][16]herd[13][16]tribe[13][16],alcelaphineantilopinebubaline,
Ape,babychildinfant,N/A,N/A,"bandfamilygroupshrewdness[2][11][16][17]troop, group[11][13][16]",simian,
Armadillo,babypup,sow,boar,N/A,cingulatan,
Ass/donkey,foal,jenny,jack,coffle[13][16]drove[11][13][16]herd[13]pace[13][14][16],asinine,
B,B,B,B,B,B,B
Baboon,infant,babuina[18],?,"flange[19][a]troop, group[2][11][19]",?,
Badger,cubkit,sow,boar,cete[2][11][14][19]colony[19],musteline,
Barracuda,N/A,N/A,N/A,school[20],percesocine,
Bat,pup,N/A,N/A,camp[21]cloud[19][22]colony[14][19]flock[23],noctillioninepteropine,
Bear (list),cub[24],she-bearsow,boar,sleuth[11][14][19]sloth[11][14][19],ursine,
Beaver,kitkittenpup,N/A,N/A,colony[11][19]family[11],castoridine,
Bee,larvapupa,queenworker[b],drone,cast (a second swarm)[19]cluster (of workers around the queen)[19]colony[19]drift[2][19]erst[2][19]grist[11][19]hive[2][11][19]nest[11]rabble[19]stand[19]swarm[2][11][19],apianapiarianapic,
Beetle,larvagrub (wormlike forms)[3][4]mealworm (darkling beetles)[3][4]pupa,N/A,N/A,swarm[3],coleopterous,
Binturong,cub,?,?,?,?,
Bird (list)Also see Aves,chick,hen,cock,flight[2]flock[2]pod[2],avian,
Bison,calf,cow,bull,herd,bovinebubaline,
Bluebird,?,?,?,?,?,
Boar/wild pigAlso see Pig,farrowpigletshoat/shote (just weaned),sow,?,herd[19][25]singular[11][25]sounder (groups of 12 or more)[11][25],?,
Bobcat,bobkitten,?,?,?,feline,
Buffalo,calf,?,?,?,bovine,
Bull,calf,cowheifer,bull,gang[11][14][19]herd[11][14][19]obstinancy[11][14][19]troop[11],bovine,
Butterfly,caterpillarchrysalislarvapupa,?,?,flight[19]flutter[11][26]rabble[19]swarm[27],lepidopteranpieridinepierine,
C,C,C,C,C,C,C
Camel,calf,cow,bull,caravan[11]flock[11]herdtrain[11],camelidcameline,
Capybara,pup,?,?,?,?,
Caracal,kitten,?,?,?,feline,
Caribou,calf,doe,buck,herd,rangiferine,
Cassowary,chickhatchling,?,?,N/A,ratite,
Cat (list),kitkitten,mollypussyqueen,gib (castrated male)[28]kingtom,clowder[2][11]cluster[11]clutter[29]glaring[2][11]kindle (kittens)[30]litter (kittens)pillow (kittens)pounce[11]nuisance [31],feline,
Caterpillar,?,?,?,army[11][32],nymphal-lepidopteran,
Cattle[c] (list),calf[33],cow[34],bull,drove[11]herd[11]team (oxen)yoke (oxen),bovine[d]taurine (male)vaccine (female)vituline (young),beefveal
Chamois,calf,doe,bull,herd,rupicaprine,
Cheetah,cub,she-cheetah,cheetah,coalition (male)[35],feline,
Chicken (list),chick,henpullet,capon (castrated male)cockcockerelrooster,brood[11]clutch (eggs)flockpeep (chicks)[11],galline,poultry
Chimpanzee,infant,empress,emperorblackback,"troop, grouptribe",panine,
Chinchilla,kit,sowvelvet,boarbull,?,chinchilline,
Chough,chick,?,?,chattering[2][17][36]clattering[2][17][37],corvine,
Coati,kitpup,sow,boar,troop,nasuine,
Cobra,?,?,?,quiver[38],elapid,
Cockroach,nymph,?,?,intrusion[38],blattid,
Cod,codling,?,?,school,gadinegadoid,
Cormorant,chickshaglet,?,?,flightgulp[11][14][38],?,
Cow,calf,Dunno,?,?,bovine,
Coyote,cubpuppuppywhelp,bitch,dog,pack,canine,
Crab,zoea,henjenny,cockjimmy,?,cancrine,
Crane,chickcolt[39],?,?,herd[40][41][42]sedge[14]sege[43]siege[44],alectorine,
Cricket,nymph,?,?,?,?,
Crocodile,hatchling,cow,bull,bask[11]congregationfloat[11],crocodilian,
Crow,?,?,?,murder[2][11],corvine,
Cuckoo,?,?,?,?,?,
Curlew,?,?,?,herd[2][17],?,
D,D,D,D,D,D,D
Deer,calf[15]fawn,doe hindcow,buckbull[15]hart (red deer)stag,bunch[45]herd[45]mob[45]rangale[45],cervineelaphine,humble (organ meat)venison
Dhole,pup,?,?,pack,?,
Dingo,pup,?,?,pack,canine [46],
Dinosaur (list),calf (Ornithischia and Sauropodomorpha)chick (Theropoda)hatchlingjuvenile,cow (Ornithischia and Sauropodomorpha)hen (Theropoda),bull (Ornithischia and Sauropodomorpha)cock (Theropoda),herd (herbivores)pack (carnivores),dinosaurian,
Dog (list),pup[5]puppywhelp[47],bitch,dogsirestud,comedy (boxers)[48][49]cowardice (curs)[14][50]cry (hounds)[51]kennel[45]litter (young)[52]mute[14]pack (wild)[14][45],canine,
DogfishAlso see Shark,?,?,?,troop[45],selachiansqualoid,"capeshark (US)flake (UK, Australia)huss (UK)kahada (Canada)[53]rigg (UK)rock salmon (UK)spiny dogfish"
Dolphin,calf,cow,bull,herdpod[54][55]school[45]team[45],delphine,
Donkey (list)See Ass,,,,,,
Dove,chick,hen,cock,arc[11]cotedole[2][45]dule[11][45]flight[2][11][45]piteousness[2][45]pitying[11],columbine,
Dragonfly,nymph,queen,drakeking,clusterflight,anisopteran,
Duck (list)Also see Mallard,duckling,duckhen,cockdrake,badling (on land)[14]brace (on land)[14]bunch (on water)[2][45]flock (on land)herd (on land)paddling (on water)[2][45]raft (on water)[2][45]safe (on land)[2]skein (in flight)[45]sord (on land)[45]sore (on land)[45]string (in flight)[45]team (in flight)[14][45]waddling (on land)[45],anatinefuliguline,poultry
Dugong,calf,cow,bull,herd,dugongine,
Dunlin,chick,?,?,fling[2],?,
E,E,E,E,E,E,E
Eagle,eagletfledgling,N/A,N/A,convocation[11][14],aquiline,
Echidna,"puggle (in common use, but not scientifically endorsed)",?,?,N/A,tachyglossine,
Eel,leptocephalus (larva)elver (juvenile),N/A,N/A,bed[11]swarm[11],anguilline,
Eland,calf,cow,bull,herd,bovine,
Elephant,calf[33],cow[34],bull[56],herdmemory[11]parade[21],elephantineproboscideanproboscine,
Elephant seal,pup,cow,bull,?,miroungan,
Elk/wapiti,calf[15],cow[15],bull[15],gang[11]herd[11],cervine,venison
Emu,chickhatchling,?,?,mob[11],?,
F,F,F,F,F,F,F
Falcon,eyass/eyas,falcon,tercelterzeltiercel,cast[21],acciptrine,
Ferret,kit,jill,hob,business[11][14]busyness[17],musteline,
Finch,chick,hen,cock,charm[14],fringilline,
Fish (list),fingerlingfry,?,?,school[3],piscine,
Fisher,kit,?,?,?,guloninemusteline,
Flamingo,chick,?,?,flamboyance[57]stand[21],phoenicopterine,
Fly,maggot,?,?,business[11]cloud[11]swarm[11],dipterous,
Fossa,pup,?,?,?,?,
Fox,cub[24]kitpup[5],vixen,dogreynardtod,leash[11][14]skulk[11][14],vulpine,
Frog,frogletpolliwogtadpole,?,?,army[14],ranine,
G,G,G,G,G,G,G
Gaur,calf,cow,bull,herd,bovinegaurine,garabeef
Gazelle,calf[15],cow[15],bull[15],herd,gazelline,
Gecko,hatchling,dam (herpetoculture),sire (herpetoculture),?,?,
Genet,kit,?,?,?,vivverine,
Gerbil,pup,doe,buck,horde,gerbilline,
Giant panda,cub,sow,boar,embarrassment [58]sleuth[59],ailuropodine,
Giraffe,calf,cow,bull,corps[60]herdtower[60][61],giraffine,
Gnat,larva,?,?,cloud[11][14][60]horde[11][14][60]rabble[60]swarm[11][60],?,
Gnu,calf,cow,bull,herdimplausibility[62],?,
Goat (list),kid,doedoelingnanny,billybuckbucklingwether (castrated),herdflock[60]tribe[60]trip[60]trippe[60],caprine,cabritochevonmutton
Goldfinch,?,?,?,charm[60],cardueline,
Goosander,?,?,?,dopping[60],?,
Goose,gosling,goose,gander,chevron (in flight)[citation needed]flock (on land)gaggle (on land)[14][60]plump (on land)[60]skein (in flight)[2][14][60]team (in flight)[2][60]wedge (in flight)[2][60],anatineanserine,poultry
Gorilla,infant,N/A,blackbacksilverback,"band[11][14][60]troop, group[11]whoop[60]",simian,
Goshawk,?,?,?,flight[17][60],?,
Grasshopper,nymph,?,?,cloud[60]swarm[60],caeliferian,
Grouse,?,?,?,covey[60]pack[60],tetraonine,
Guanaco,chulengo[63],?,?,herd,camelid,
Guinea fowl,keet,hen,cock,flock[64]rasp[65],numidine,poultry
Guinea pig,pup,sow,boar,herd,?,cuy
Gull,chick,hen,cock,colonyflock,larine,
H,H,H,H,H,H,H
Hamster,pup,doe,buck,horde,cricetid,
Hare,leveret,doejill,buckjack,banddown[66]drove[66]flick[66]husk[66],leporineleverine[citation needed],
Hawk,eyas,hen,tiercel,aerie[67][e]boil (soaring in large groups)[14][67]cast[67][f]cauldron (soaring in large groups)[67]flight[67][g]flock[67]kettle (soaring in large groups)[11][67]leash[67][h]staff[67][i],accipitrine,
Hedgehog,hogletpigletpup,sow,boar,array[66],erinaceine,
Hermit crab,zoea,?,?,?,paguroid,
Heron,chick,hen,cock,flight[66]sedge[11][14][66]sege[43][66]siege[11][14][44][66],ardeidine,
Herring,?,?,?,army[14][66]glean[66]shoal[66],clupeidean,
Hippopotamus,calf,cow,bull,bloat[11][14][66]herd[66]sea[11][14][66]thunder[38],hippopotamine,
Hoatzin,chick,?,?,?,?,
Hoopoe,chick,?,?,?,?,
Hornet,larvapupa,queen,drone,bike[66]nest[14]swarm,vespine,
Horse (list),colt (male)filly (female)foalgelding (castrated male),dammare,stallionstud,band (wild horses)[11]field (racehorses)harras[14]herd (wild horses)[11]rag (colts)[14]stable[11]string (ponies)[14]stud[14]team (work horses)[11][14],equine,
Human,babyboy (male)childgirl (female)infant,lady (colloquial)woman,gentleman (colloquial)man,bandclancrowdfamilygrouphordetribe,humansimian,
Hummingbird,chick,hen,cock,?,trochilidinetrochiline,
Hyena,cub,?,?,cackle[11][14]clan,hyenine,
I,I,I,I,I,I,I
Ibex,kid,nanny,billy,herd[68],caprine,
Ibis,chick,?,?,?,threskiornithine,
Iguana,hatchling,cow,bull,?,?,
Impala,calf,ewe,ram,herd,?,
J,J,J,J,J,J,J
Jackal,pup,?,?,pack,?,
Jaguar,cub,?,?,leap[69]parade[21]prowl[69],?,
Jay,chick,hen,cock,band[11]party[14]scold[14],corvine,
Jellyfish,ephyra[70]planulapolyp,?,?,bloombrood[11]fluther[2]smack[2][14]smuth[10],scyphozoan,
Junglefowl,?,?,?,?,dipodine,
K,K,K,K,K,K,K
Kangaroo,joey,doeflyerjillroo,boomerbuckjack,courtherdmob[71]troop[14],macropodine,
Kingbird,chick,?,?,?,tyrannid,
Kingfisher,chick,?,?,?,alcedine,
Kinkajou,kitpup,sow,boar,convergencetroop,potosine,
Kite,chick,?,?,?,accipitrine,
Koala,joey,doe,buck,?,phascolarctine,
Kodkod,kitten,?,?,?,feline,
Komodo dragon,calfchickhatchling,cowhen,bullcock,?,varanine,
Kookaburra,chick,?,?,?,?,
Kouprey,calf,cow,bull,herd,bovinesauveline,
Kowari,pup,kowaridae,fossa,kinkajou,tragelaphine,
L,L,L,L,L,L,L
Langur,infant,?,?,"troop, group",colobine,
Lapwing,chick,?,?,deceit[14][17]desert[2],vanelline,
Lark,chick,hen,cock,exaltation[2][17],alaudine,
Lechwe,calf,?,?,herd,?,
Lemur,infant,?,?,conspiracy[72],lemurine,
Leopard,cub,leopardess,leopard,leap[2][11][14]lepe[2],pardine,
Lion,cub[24],lioness,lion,pride[73][74][41]sawt[41][75],leonine,
Lizard,hatchling,?,?,?,?,
Llama,cria,damhembra,machostud,flockherd,camelid,
Lobster,?,hen[3],cock[3],risk,homarine,
Locust (list),nymph,N/A,N/A,cloudhostswarm,caelifera,
Loris,infant,?,?,colony[76],lorisine[77],
Louse,nymph,N/A,N/A,colony,pediculine,
Lynx,kitten,?,?,?,feline,
Lyrebird,chick,hen,cock,musket[78],menurine,
M,M,M,M,M,M,M
Macaque,infant,?,?,?,simian,
Macaw,hatchling,?,?,?,?,
Magpie,chick,hen,cock,flock,garruline,
MallardAlso see Duck,duckling,hen,greenhead[79],sord[2]suit[2],anatine,poultry
Mammoth,calf,cow,bull,herdpack,mammutine,
Manatee,calf,cow,bull,herd,manatinesirenian,
Mandrill,infant,N/A,N/A,horde,simian,
Manta ray,fry,?,?,?,feline,
Marmoset,infant,?,?,?,simian,
Marmot,?,?,?,?,?,
Meerkat,meerkitten,N/A,N/A,?,herpestine,
Mink,cubkit,sow,boar,?,musteline,
Mole,pup,sow,boar,labor[21],talpine,
Mongoose,pup,?,?,committeedelegationtroop,herpestine,
Monkey,infant,N/A,N/A,"group, troop[2]",simian,
Moose,calf[15],cow[15],bull[15][56],herd,cervine,venison
Mosquito,nymphtumblerwriggled,N/A,N/A,cloudswarm,aedineanopheline,
Mouse,crawler (as pet feed)[80]fuzzy (as pet feed)[80]hopper (as pet feed)[80]pinky (as pet feed)[80]pup,doe,buck,colonynest,murine,
Myna,?,?,?,?,?,
N,N,N,N,N,N,N
Narwhal,calf[81],cow[81],bull[81],pod[81]herd[81]school[81]gam[81]grind[81],cetacean[82]cetaceous[82],
Newt,eft[83],?,?,?,pleurodeline,
Nightingale,chick,hen,cock,watch[40][41][42],philomelian,
Nilgai,?,?,bull,?,bovine,
O,O,O,O,O,O,O
Ocelot,kitten,queen,torn,clowder,feline,
Octopus,fry[citation needed],hen[84],?,consortium[85],octopodine,
Okapi,calf,cow,bull,herd,okapine,
Olingo,kitten,?,?,?,feline,
Opossum,joey,jill,jack,passel[86],didelphine,
Orangutan,babychildinfant,?,?,"bandfamilygroup, troop",simian,
Oryx/gemsbok,calf,?,?,herd,?,
Ostrich,chickhatchling,hen,cock,flocktroop,ratitestruthious,
Otter,pupwhelp,sow,boar,family[21]romp,lutrinemusteline,
OxSee Cattle,,,,,,
Owl,fledglingowlet,?,?,parliament[11],strigine,
Oyster,spat,?,?,bed[11],ostracine,
P,P,P,P,P,P,P
Panther,cub,pantheress,panther,?,pantherine,
Parrot,chick,hen,cock,flock,psittacine,
PandaSee Giant panda,,,,,,
Partridge,chick,chantellehen,cock,?,perdicine,
Peafowl,chickpeachick,peahen,peacock,?,pavonine,poultry
Pelican,chicknestling,?,?,pod[11]scoop,pelecanine,
Penguin,chicknestling,?,?,colony[87]huddle[87]raft (in water)[87]rookery[87]tuxedo[10]waddle (on land)[87][88],spheniscine,
Pheasant,chick,hen,cock,bouquet[11][14]flocknest[14]nide[14]nye[11][14],phasianine,
Pig (list)Also see Boar,farrowpigletshoat/shote (just weaned),gilt (not bred)[89]sow (bred),barrow (castrated)[90][91]boarhog,drift[11][14][92]drove[11][14]litter (piglets)sounder (older pigs)[21]team (older pigs)[21],porcinesuilline,baconhampork
Pigeon (list),squabsqueaker,hen,cock,flight[93]flockkit[93],pullastrine,squab
Pika,?,?,?,?,?,
Polar bear,cub,sow,boar,aurora[94]celebration[94]pack[94],ursine,
PonySee Horse,,,,,,
Porcupine,pup,sow,boar,prickle[93],hystricine,
Porpoise,calf,cow,bull,podschoolshoal,phocoenine,
Prairie dog,pup,sow,boar,town,cynomurine,
Pug,pup,bitch,dogsirestud,grumble[95],?,
Q,Q,Q,Q,Q,Q,Q
Quail,chick,hen,cock,bevy[73][74][40][41][42],galliformine,
Quelea,chick,hen,cock,flock,queline,
Quetzal,nestling,?,?,flock,trogonine,
R,R,R,R,R,R,R
Rabbit (list),bunnykitkittennestling,doejill,buckjackyoyo,litter (young)nest[74]warrenwrack (young),leporine,
Raccoon,cubkit,sow,boar,bracecommitteegaze[73]nurserysmacktroop,procyonine,
RamAlso see Sheep,lamb,ewe,ram,flock,arietineovine,lambmutton
Rat (list),kitten[citation needed]pup,doe,buck,colonyhordemischief[96][97],murine,
Raven,chick,hen,cock,conspiracyunkindness[40][41][98],corvine,
Red deer,calf,hind,hartstag,herd,?,venison
Red panda,cub,sow,boar,pack,ailurid,
Reindeer/caribou,calf,cow,bull,herd,rangiferine,
Rhea,chick,?,?,?,?,
Rhinoceros,calf,cow,bull,crash[99]herd,ceratorhine,
Rook,?,?,?,building[2]parliament[2][100],?,
S,S,S,S,S,S,S
Saki,?,?,?,?,pitheciine,
Salamander,larva,?,?,maelstrom,caudatansalamandrine,
Salmon,parr[101],hen,cock,?,salmonine,
Sand dollar,juvenile (young urchin)larva pluteus (free-swimming stage),?,?,?,clypeasteroid,
Sandpiper,?,?,?,fling[102],scolopacine,
Sardine,?,?,?,family [102],?,
Sassaby,calf,?,bull,herd,alcelaphine,
Sea lion,pup,cow,bull,?,otarine,
Seahorse,seafoal,seamare,seastallion,shoal,hippocampal,
Seal,pup[5],cow,bull,herd[102]pod[102]rookery[102],phoca,
Serval,kitten,?,?,?,feline,
Shark,cub[24]pup[103],?,bull,shiver [58],selachiansqualoid,flake (AUS)
Sheep (list)Also see Ram,cossetlamblambkin,damewe,buckramwether (castrated),flock[73][74]fold[104]herd,ovine,hoggetlambmutton
Shrew,shrewlet,sow,boar,colonydrove,soricine,
Shrike,chick,?,?,?,corvidcorvine,
Siamang,?,?,?,?,?,
Skink,hatchling,?,?,?,scincinescincoid,
Skipper,caterpillar,?,?,?,papilionid,
Skunk,kit,sow,boar[3],surfeit,mephitine,
Sloth,babykittenpup,sow,boar,N/A,xenarthran (broader group),
Snail,?,N/A,N/A,escargatoire[102][105]rout[102][106]walk[102],gastropodian,escargot
Snake (list),hatchling (newly hatched)neonate (newborn)snakelet,N/A,N/A,ballnest[74]slither,anguineelapineophidianserpentineviperine,
Spider (list),spiderling,?,?,cluster[102]clutter[102],arachninearachnoid,
Spoonbill,chick,?,?,?,?,
Squid,paralarva,?,?,shoal,Teuthidane,
Squirrel,kitkittenpup,doe,buck,scurry[38],sciurine,
Starfish,?,?,?,?,asteroid,
Starling,?,?,?,chattering[11][36]murmuration[2][11][14][17],sturnine,
Stilt,chick,?,?,?,recurvirostrid,
Swan,cygnetflapper,pen,cob,bevy[21]flockgame[21]lamentationwedge (in flight)[21],cygnine,
T,T,T,T,T,T,T
Tamarin,?,?,?,?,simian,
Tapir,calf,cow,bull,herd,tapirine,
Tarsier,?,?,?,?,tarsiine,
Termite,larva,?,?,colonynestswarm,isopteran,
Thrush,chick,?,?,?,turdine,
Tiger,cub[24]whelp,tigress,tiger,ambush[11]streak[38],tigrine,
Toad,tadpoletoadlet,N/A,N/A,knot[11][14],batrachianranine,
Topi,calf,cow,bull,herd,alcelaphine,
Toucan,chick,?,?,?,?,
Turaco,?,?,?,?,?,
Turkey (list),poult,hen,gobblerjake (immature)stagtom,rafter[107][108],?,poultry
Turtle,hatchling,N/A,N/A,bale[109],chelonian,
V,V,V,V,V,V,V
Vicuña,calf,cow,bull,herdposse,camelid,
Vinegaroon,?,?,?,?,?,
Viper,hatchling,?,?,?,viperine,
Vulture,chick,?,?,?,?,
W,W,W,W,W,W,W
Wallaby,joey,jill,jack,mob,?,
Walrus,calf,cow,bull,herd[74]pod[74],odobenine,
Wasp,larva,queenworker,drone,colonyhivenestswarm,vespine,
Water buffalo,calf,cow,bull,?,?,carabeef
Waxwing,?,?,?,?,?,
Weasel,kitpup,bitchdoejill,buckdoghubjack,gang[16]sneak[16],musteline,
Whale,calf[33],cow[34],bull,gam[21]pod[73][74]school,cetaceancetaceous,blubber
Wildebeest,calf[33],cow[34],bull,confusion,?,
Wobbegong,?,?,?,?,?,
Wolf,cubpup[5]puppywhelp,bitchshe-wolf,dog,pack[73][74],caninelupine,
Wolverine,kitwhelp,angeline,wolverine,pack,musteline,
Wombat,joey,jill,jack,wisdom[110],?,
Woodpecker,chick,?,?,?,?,
Worm,?,?,?,?,caecilian,
Wren,chick,cow,bull,?,troglodytine,
Y,Y,Y,Y,Y,Y,Y
Yak,calf,cow,bull,herd,?,
Z,Z,Z,Z,Z,Z,Z
Zebra,colt (male)filly (female)foal,mare,stallion,cohort[111]dazzle[112]herd[11][111]zeal[11][111],hippotigrinezebrine,
